2.303000000000000000e+03,1.266000000000000000e+03,2.437000000000000000e+03,6.105000000000000000e+03,4.466000000000000000e+03
2.044000000000000000e+03,4.032000000000000000e+03,3.226000000000000000e+03,1.980000000000000000e+02,5.490000000000000000e+03
9.100000000000000000e+01,3.527000000000000000e+03,2.171000000000000000e+03,4.560000000000000000e+03,1.645000000000000000e+03
1.270000000000000000e+03,8.960000000000000000e+02,5.335000000000000000e+03,7.321000000000000000e+03,2.618000000000000000e+03
5.433000000000000000e+03,5.029000000000000000e+03,5.100000000000000000e+03,9.530000000000000000e+02,3.904000000000000000e+03
1.830000000000000000e+02,2.201000000000000000e+03,4.024000000000000000e+03,6.199000000000000000e+03,1.759000000000000000e+03
3.623000000000000000e+03,1.327000000000000000e+03,3.591000000000000000e+03,2.667000000000000000e+03,2.497000000000000000e+03
3.623000000000000000e+03,1.327000000000000000e+03,3.591000000000000000e+03,2.667000000000000000e+03,2.497000000000000000e+03
5.433000000000000000e+03,5.029000000000000000e+03,5.100000000000000000e+03,9.530000000000000000e+02,3.904000000000000000e+03
3.739000000000000000e+03,7.370000000000000000e+03,4.592000000000000000e+03,5.397000000000000000e+03,4.559000000000000000e+03
5.349000000000000000e+03,5.009000000000000000e+03,1.694000000000000000e+03,5.643000000000000000e+03,2.796000000000000000e+03
2.856000000000000000e+03,2.315000000000000000e+03,5.629000000000000000e+03,3.030000000000000000e+02,1.001000000000000000e+03
2.667000000000000000e+03,6.030000000000000000e+02,3.540000000000000000e+03,1.327000000000000000e+03,3.623000000000000000e+03
5.930000000000000000e+03,4.896000000000000000e+03,2.961000000000000000e+03,4.466000000000000000e+03,2.437000000000000000e+03
5.800000000000000000e+03,4.354000000000000000e+03,3.271000000000000000e+03,7.350000000000000000e+03,1.735000000000000000e+03
7.420000000000000000e+03,3.821000000000000000e+03,2.444000000000000000e+03,7.321000000000000000e+03,5.750000000000000000e+03
1.504000000000000000e+03,1.645000000000000000e+03,3.527000000000000000e+03,8.170000000000000000e+02,5.133000000000000000e+03
7.570000000000000000e+02,1.443000000000000000e+03,2.953000000000000000e+03,1.224000000000000000e+03,1.214000000000000000e+03
1.612000000000000000e+03,5.750000000000000000e+03,4.997000000000000000e+03,7.419000000000000000e+03,3.821000000000000000e+03
3.231000000000000000e+03,3.836000000000000000e+03,4.485000000000000000e+03,1.411000000000000000e+03,4.978000000000000000e+03
6.093000000000000000e+03,5.910000000000000000e+02,5.146000000000000000e+03,1.736000000000000000e+03,1.981000000000000000e+03
4.559000000000000000e+03,7.350000000000000000e+03,7.370000000000000000e+03,3.739000000000000000e+03,4.911000000000000000e+03
